num_id,id,name,category,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
31,acoustic-guitar,Acoustic Guitar,Furniture,NA,3210,bells,12840,bells,NA,TRUE,8,softwood,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
31,acoustic-guitar,Acoustic Guitar,Furniture,NA,3210,bells,12840,bells,NA,TRUE,3,iron-nugget,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
34,adventure-dress,Adventure Dress,Dresses,NA,700,bells,2800,bells,NA,NA,NA,NA,nh,item-adventure-dress,https://villagerdb.com/images/items/full/adventure-dress.e5556a8.png
35,aerobics-leggings,Aerobics Leggings,Socks,NA,175,bells,700,bells,NA,NA,NA,NA,nh,item-aerobics-leggings,https://villagerdb.com/images/items/full/aerobics-leggings.14cd346.png
38,after-school-jacket,After-school Jacket,Tops,NA,262,bells,1050,bells,NA,NA,NA,NA,nh,item-after-school-jacket,https://villagerdb.com/images/items/full/after-school-jacket.1867222.png
45,agrias-butterfly-model,Agrias Butterfly Model,Furniture,NA,9000,bells,NA,NA,NA,NA,NA,NA,nh,item-agrias-butterfly-model,https://villagerdb.com/images/items/thumb/agrias-butterfly-model.e4ca430.png
46,agrias-butterfly,Agrias Butterfly,Bugs,FALSE,3000,bells,12000,bells,NA,NA,NA,NA,nh,item-agrias-butterfly,https://villagerdb.com/images/items/thumb/agrias-butterfly.4936e2a.png
47,air-circulator,Air Circulator,Furniture,NA,275,bells,1100,bells,NA,NA,NA,NA,nh,item-air-circulator,https://villagerdb.com/images/items/thumb/air-circulator.7bd4f37.png
48,air-conditioner,Air Conditioner,Furniture,NA,15750,bells,63000,bells,NA,NA,NA,NA,nh,item-air-conditioner,https://villagerdb.com/images/items/thumb/air-conditioner.328dcb9.png
76,alpinist-dress,Alpinist Dress,Dresses,TRUE,630,bells,2520,bells,NA,NA,NA,NA,nh,item-alpinist-dress,https://villagerdb.com/images/items/full/alpinist-dress.46c499a.png
77,alpinist-hat,Alpinist Hat,Hats,NA,500,bells,2000,bells,NA,NA,NA,NA,nh,item-alpinist-hat,https://villagerdb.com/images/items/full/alpinist-hat.ba865e8.png
78,alpinist-overalls,Alpinist Overalls,Dresses,NA,630,bells,2520,bells,NA,NA,NA,NA,nh,item-alpinist-overalls,https://villagerdb.com/images/items/full/alpinist-overalls.238fbbf.png
81,alto-saxophone,Alto Saxophone,Furniture,NA,850,bells,3400,bells,NA,NA,NA,NA,nh,item-alto-saxophone,https://villagerdb.com/images/items/thumb/alto-saxophone.efadc81.png
82,aluminum-briefcase,Aluminum Briefcase,Furniture,NA,25000,bells,100000,bells,NA,NA,NA,NA,nh,item-aluminum-briefcase,https://villagerdb.com/images/items/thumb/aluminum-briefcase.5781d35.png
86,amber,Amber,Fossils,FALSE,1200,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-amber,https://villagerdb.com/images/items/thumb/amber.5dcc331.png
93,ammonite,Ammonite,Fossils,FALSE,1100,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-ammonite,https://villagerdb.com/images/items/thumb/ammonite.2724f54.png
94,amp,Amp,Furniture,TRUE,1275,bells,5100,bells,Nook's Cranny,FALSE,NA,NA,nh,item-amp,https://villagerdb.com/images/items/thumb/amp.63f1df1.png
97,analog-kitchen-scale,Analog Kitchen Scale,Furniture,NA,275,bells,1100,bells,NA,NA,NA,NA,nh,item-analog-kitchen-scale,https://villagerdb.com/images/items/thumb/analog-kitchen-scale.edc922a.png
98,anatomical-model,Anatomical Model,Furniture,TRUE,875,bells,3500,bells,NA,NA,NA,NA,nh,item-anatomical-model,https://villagerdb.com/images/items/thumb/anatomical-model.694fb2e.png
99,anchor-statue,Anchor Statue,Furniture,NA,1400,bells,5600,bells,NA,NA,NA,NA,nh,item-anchor-statue,https://villagerdb.com/images/items/thumb/anchor-statue.784fe28.png
101,anchovy-model,Anchovy Model,Furniture,NA,600,bells,NA,NA,NA,NA,NA,NA,nh,item-anchovy-model,https://villagerdb.com/images/items/thumb/anchovy-model.5786f18.png
102,anchovy,Anchovy,Fish,FALSE,200,bells,NA,NA,"North: Small Shadows at Sea, All Year (4am-9pm)",NA,NA,NA,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
102,anchovy,Anchovy,Fish,FALSE,200,bells,NA,NA,"South: Small Shadows at Sea, All Year (4am-9pm)",NA,NA,NA,nh,item-anchovy,https://villagerdb.com/images/items/thumb/anchovy.dba0237.png
105,ancient-administrator-hat,Ancient Administrator Hat,Hats,NA,800,bells,3200,bells,NA,NA,NA,NA,nh,item-ancient-administrator-hat,https://villagerdb.com/images/items/full/ancient-administrator-hat.8a25a8c.png
106,ancient-belted-robe,Ancient Belted Robe,Dresses,NA,910,bells,3640,bells,NA,NA,NA,NA,nh,item-ancient-belted-robe,https://villagerdb.com/images/items/full/ancient-belted-robe.b2df95e.png
108,ancient-sashed-robe,Ancient Sashed Robe,Dresses,NA,630,bells,2520,bells,NA,NA,NA,NA,nh,item-ancient-sashed-robe,https://villagerdb.com/images/items/full/ancient-sashed-robe.aaa58bf.png
112,angelfish-model,Angelfish Model,Furniture,NA,9000,bells,NA,NA,NA,NA,NA,NA,nh,item-angelfish-model,https://villagerdb.com/images/items/thumb/angelfish-model.45ab44c.png
113,angelfish,Angelfish,Fish,FALSE,3000,bells,NA,NA,"North: Small Shadows on River, May-Oct (4pm-9am)",NA,NA,NA,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
113,angelfish,Angelfish,Fish,FALSE,3000,bells,NA,NA,"South: Small Shadows on River, Nov-Apr (4pm-9am)",NA,NA,NA,nh,item-angelfish,https://villagerdb.com/images/items/thumb/angelfish.59d0504.png
114,angled-signpost,Angled Signpost,Furniture,NA,600,bells,2400,bells,NA,TRUE,2,hardwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
114,angled-signpost,Angled Signpost,Furniture,NA,600,bells,2400,bells,NA,TRUE,3,softwood,nh,item-angled-signpost,https://villagerdb.com/images/items/thumb/angled-signpost.d6b791b.png
120,animal-print-coat,Animal-print Coat,Tops,NA,580,bells,2320,bells,NA,NA,NA,NA,nh,item-animal-print-coat,https://villagerdb.com/images/items/full/animal-print-coat.9756d66.png
121,animal-stripes-skirt,Animal-stripes Skirt,Bottoms,TRUE,275,bells,1100,bells,NA,NA,NA,NA,nh,item-animal-stripes-skirt,https://villagerdb.com/images/items/full/animal-stripes-skirt.623de44.png
122,animal-stripes-tee,Animal-stripes Tee,Tops,NA,240,bells,960,bells,NA,NA,NA,NA,nh,item-animal-stripes-tee,https://villagerdb.com/images/items/full/animal-stripes-tee.1b4ab41.png
127,ankylo-skull,Ankylo Skull,Fossils,FALSE,3500,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-ankylo-skull,https://villagerdb.com/images/items/thumb/ankylo-skull.12aecbf.png
128,ankylo-tail,Ankylo Tail,Fossils,FALSE,2500,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-ankylo-tail,https://villagerdb.com/images/items/thumb/ankylo-tail.d926a5b.png
129,ankylo-torso,Ankylo Torso,Fossils,FALSE,3000,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-ankylo-torso,https://villagerdb.com/images/items/thumb/ankylo-torso.9c9813a.png
134,annyeong-tee,Annyeong Tee,Tops,TRUE,160,bells,640,bells,Nook Shopping,NA,NA,NA,nh,item-annyeong-tee,https://villagerdb.com/images/items/full/annyeong-tee.628f8e0.png
135,anomalocaris,Anomalocaris,Fossils,FALSE,2000,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-anomalocaris,https://villagerdb.com/images/items/thumb/anomalocaris.58e5284.png
136,anorak-jacket,Anorak Jacket,Tops,TRUE,350,bells,1400,bells,Able Sisters,NA,NA,NA,nh,item-anorak-jacket,https://villagerdb.com/images/items/full/anorak-jacket.411373f.png
137,ant-farm,Ant Farm,Furniture,NA,350,bells,1400,bells,NA,NA,NA,NA,nh,item-ant-farm,https://villagerdb.com/images/items/thumb/ant-farm.a4b7bd0.png
138,ant-model,Ant Model,Furniture,NA,240,bells,NA,NA,NA,NA,NA,NA,nh,item-ant-model,https://villagerdb.com/images/items/thumb/ant-model.a4e39e0.png
139,ant,Ant,Bugs,FALSE,80,bells,320,bells,NA,NA,NA,NA,nh,item-ant,https://villagerdb.com/images/items/thumb/ant.654241e.png
140,anthurium-plant,Anthurium Plant,Furniture,TRUE,247,bells,990,bells,NA,NA,NA,NA,nh,item-anthurium-plant,https://villagerdb.com/images/items/thumb/anthurium-plant.486b1e2.png
141,antique-bed,Antique Bed,Furniture,TRUE,7000,bells,28000,bells,NA,NA,NA,NA,nh,item-antique-bed,https://villagerdb.com/images/items/thumb/antique-bed.44de40a.png
142,antique-boots,Antique Boots,Shoes,NA,660,bells,2640,bells,NA,NA,NA,NA,nh,item-antique-boots,https://villagerdb.com/images/items/full/antique-boots.1ece19a.png
143,antique-bureau,Antique Bureau,Furniture,TRUE,5000,bells,20000,bells,NA,NA,NA,NA,nh,item-antique-bureau,https://villagerdb.com/images/items/thumb/antique-bureau.dd47c41.png
144,antique-chair,Antique Chair,Furniture,TRUE,2500,bells,10000,bells,NA,NA,NA,NA,nh,item-antique-chair,https://villagerdb.com/images/items/thumb/antique-chair.92bec1c.png
145,antique-clock,Antique Clock,Furniture,TRUE,11000,bells,44000,bells,NA,NA,NA,NA,nh,item-antique-clock,https://villagerdb.com/images/items/thumb/antique-clock.b70c34c.png
146,antique-console-table,Antique Console Table,Furniture,TRUE,4250,bells,17000,bells,NA,NA,NA,NA,nh,item-antique-console-table,https://villagerdb.com/images/items/thumb/antique-console-table.4f90323.png
147,antique-mini-table,Antique Mini Table,Furniture,TRUE,1675,bells,6700,bells,Nook's Cranny,NA,NA,NA,nh,item-antique-mini-table,https://villagerdb.com/images/items/thumb/antique-mini-table.cb20989.png
148,antique-phone,Antique Phone,Furniture,NA,4000,bells,16000,bells,NA,NA,NA,NA,nh,item-antique-phone,https://villagerdb.com/images/items/thumb/antique-phone.66cecb2.png
150,antique-table,Antique Table,Furniture,TRUE,6250,bells,25000,bells,NA,NA,NA,NA,nh,item-antique-table,https://villagerdb.com/images/items/thumb/antique-table.a3c9dcc.png
151,antique-vanity,Antique Vanity,Furniture,TRUE,7750,bells,31000,bells,NA,NA,NA,NA,nh,item-antique-vanity,https://villagerdb.com/images/items/thumb/antique-vanity.ed5f291.png
152,antique-wardrobe,Antique Wardrobe,Furniture,TRUE,9250,bells,37000,bells,NA,NA,NA,NA,nh,item-antique-wardrobe,https://villagerdb.com/images/items/thumb/antique-wardrobe.470a3de.png
155,ao-dai,Áo Dài,Dresses,TRUE,630,bells,2520,bells,NA,NA,NA,NA,nh,item-ao-dai,https://villagerdb.com/images/items/full/ao-dai.d0e274f.png
162,apple-chair,Apple Chair,Furniture,NA,2480,bells,9920,bells,NA,NA,NA,NA,nh,item-apple-chair,https://villagerdb.com/images/items/thumb/apple-chair.e9dacd0.png
163,apple-dress,Apple Dress,Dresses,FALSE,1600,bells,6400,bells,NA,FALSE,8,apple,nh,item-apple-dress,https://villagerdb.com/images/items/full/apple-dress.effc3f8.png
164,apple-hat,Apple Hat,Hats,NA,1000,bells,4000,bells,NA,NA,NA,NA,nh,item-apple-hat,https://villagerdb.com/images/items/full/apple-hat.f53c0b3.png
166,apple-umbrella,Apple Umbrella,Umbrellas,NA,1400,bells,5600,bells,NA,NA,NA,NA,nh,item-apple-umbrella,https://villagerdb.com/images/items/full/apple-umbrella.d43dbbb.png
168,apple,Apple,Fruit,FALSE,100,bells,400,bells,Shaking fruit tree,NA,NA,NA,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
168,apple,Apple,Fruit,FALSE,100,bells,400,bells,Nook's Cranny,NA,NA,NA,nh,item-apple,https://villagerdb.com/images/items/thumb/apple.2b0f79c.png
171,apron-skirt,Apron Skirt,Bottoms,NA,175,bells,700,bells,NA,NA,NA,NA,nh,item-apron-skirt,https://villagerdb.com/images/items/full/apron-skirt.fa97145.png
172,apron,Apron,Tops,TRUE,210,bells,840,bells,Able Sisters,NA,NA,NA,nh,item-apron,https://villagerdb.com/images/items/full/apron.1559aa7.png
177,aquarius-fragment,Aquarius Fragment,Usables,NA,500,bells,NA,NA,NA,NA,NA,NA,nh,item-aquarius-fragment,https://villagerdb.com/images/items/thumb/aquarius-fragment.03ea684.png
178,aquarius-urn,Aquarius Urn,Furniture,NA,22125,bells,88500,bells,NA,NA,NA,NA,nh,item-aquarius-urn,https://villagerdb.com/images/items/thumb/aquarius-urn.d3492c0.png
180,aran-knit-cap,Aran-knit Cap,Hats,TRUE,220,bells,880,bells,NA,NA,NA,NA,nh,item-aran-knit-cap,https://villagerdb.com/images/items/full/aran-knit-cap.05679ab.png
181,aran-knit-cardigan,Aran-knit Cardigan,Tops,NA,325,bells,1300,bells,NA,NA,NA,NA,nh,item-aran-knit-cardigan,https://villagerdb.com/images/items/full/aran-knit-cardigan.fcc01b3.png
182,aran-knit-socks,Aran-knit Socks,Socks,NA,180,bells,720,bells,NA,NA,NA,NA,nh,item-aran-knit-socks,https://villagerdb.com/images/items/full/aran-knit-socks.a224c4f.png
183,aran-knit-sweater,Aran-knit Sweater,Tops,NA,300,bells,1200,bells,NA,NA,NA,NA,nh,item-aran-knit-sweater,https://villagerdb.com/images/items/full/aran-knit-sweater.02a497c.png
184,arapaima-model,Arapaima Model,Furniture,NA,30000,bells,NA,NA,NA,NA,NA,NA,nh,item-arapaima-model,https://villagerdb.com/images/items/thumb/arapaima-model.11495d1.png
185,arapaima,Arapaima,Fish,FALSE,10000,bells,NA,NA,"North: Huge Shadows on River, June-Sep (4pm-9am)",NA,NA,NA,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
185,arapaima,Arapaima,Fish,FALSE,10000,bells,NA,NA,"South: Huge Shadows on River, Dec-Mar (4pm-9am)",NA,NA,NA,nh,item-arapaima,https://villagerdb.com/images/items/thumb/arapaima.3e7876c.png
187,arcade-combat-game,Arcade Combat Game,Furniture,NA,16000,bells,64000,bells,NA,NA,NA,NA,nh,item-arcade-combat-game,https://villagerdb.com/images/items/thumb/arcade-combat-game.cb8ac28.png
188,arcade-fighting-game,Arcade Fighting Game,Furniture,NA,16000,bells,64000,bells,NA,NA,NA,NA,nh,item-arcade-fighting-game,https://villagerdb.com/images/items/thumb/arcade-fighting-game.e2a4a74.png
190,arcade-mahjong-game,Arcade Mahjong Game,Furniture,TRUE,16000,bells,64000,bells,NA,NA,NA,NA,nh,item-arcade-mahjong-game,https://villagerdb.com/images/items/thumb/arcade-mahjong-game.1d71499.png
191,arcade-seat,Arcade Seat,Furniture,NA,325,bells,1300,bells,NA,NA,NA,NA,nh,item-arcade-seat,https://villagerdb.com/images/items/thumb/arcade-seat.2eb8a8e.png
192,archaeopteryx,Archaeopteryx,Fossils,FALSE,1300,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-archaeopteryx,https://villagerdb.com/images/items/thumb/archaeopteryx.c316303.png
198,archelon-skull,Archelon Skull,Fossils,FALSE,4000,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-archelon-skull,https://villagerdb.com/images/items/thumb/archelon-skull.b8b81ce.png
199,archelon-tail,Archelon Tail,Fossils,FALSE,3500,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-archelon-tail,https://villagerdb.com/images/items/thumb/archelon-tail.4459ec6.png
205,argyle-crew-socks,Argyle Crew Socks,Socks,NA,180,bells,720,bells,NA,NA,NA,NA,nh,item-argyle-crew-socks,https://villagerdb.com/images/items/full/argyle-crew-socks.6264a56.png
209,argyle-sweater,Argyle Sweater,Tops,NA,300,bells,1200,bells,NA,NA,NA,NA,nh,item-argyle-sweater,https://villagerdb.com/images/items/full/argyle-sweater.cc0b0fa.png
212,argyle-vest,Argyle Vest,Tops,TRUE,360,bells,1440,bells,Able Sisters,NA,NA,NA,nh,item-argyle-vest,https://villagerdb.com/images/items/full/argyle-vest.ca97cb5.png
213,aries-fragment,Aries Fragment,Usables,NA,500,bells,NA,NA,NA,NA,NA,NA,nh,item-aries-fragment,https://villagerdb.com/images/items/thumb/aries-fragment.6f9dc5b.png
214,aries-rocking-chair,Aries Rocking Chair,Furniture,FALSE,12125,bells,48500,bells,NA,FALSE,3,star-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
214,aries-rocking-chair,Aries Rocking Chair,Furniture,FALSE,12125,bells,48500,bells,NA,FALSE,2,aries-fragment,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
214,aries-rocking-chair,Aries Rocking Chair,Furniture,FALSE,12125,bells,48500,bells,NA,FALSE,1,gold-nugget,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
214,aries-rocking-chair,Aries Rocking Chair,Furniture,FALSE,12125,bells,48500,bells,NA,FALSE,5,stone,nh,item-aries-rocking-chair,https://villagerdb.com/images/items/thumb/aries-rocking-chair.a32efc6.png
216,armor-shoes,Armor Shoes,Shoes,NA,3000,bells,12000,bells,NA,NA,NA,NA,nh,item-armor-shoes,https://villagerdb.com/images/items/full/armor-shoes.dfa1b25.png
218,aroma-pot,Aroma Pot,Furniture,FALSE,600,bells,NA,NA,NA,TRUE,3,clay,nh,item-aroma-pot,https://villagerdb.com/images/items/thumb/aroma-pot.8c2a92f.png
219,arowana-model,Arowana Model,Furniture,NA,30000,bells,NA,NA,NA,NA,NA,NA,nh,item-arowana-model,https://villagerdb.com/images/items/thumb/arowana-model.e05090e.png
220,arowana,Arowana,Fish,FALSE,10000,bells,NA,NA,"North: Large Shadows on River, June-Sep (4pm-9am)",NA,NA,NA,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
220,arowana,Arowana,Fish,FALSE,10000,bells,NA,NA,"South: Large Shadows on River, Dec-Mar (4pm-9am)",NA,NA,NA,nh,item-arowana,https://villagerdb.com/images/items/thumb/arowana.362db99.png
222,artisanal-bug-cage,Artisanal Bug Cage,Furniture,NA,450,bells,1800,bells,NA,NA,NA,NA,nh,item-artisanal-bug-cage,https://villagerdb.com/images/items/thumb/artisanal-bug-cage.46f1375.png
225,asteroid,Asteroid,Furniture,NA,4000,bells,16000,bells,NA,NA,NA,NA,nh,item-asteroid,https://villagerdb.com/images/items/thumb/asteroid.affc3a0.png
233,astro-dress,Astro Dress,Dresses,NA,625,bells,2500,bells,NA,NA,NA,NA,nh,item-astro-dress,https://villagerdb.com/images/items/full/astro-dress.8f9dba0.png
242,astronaut-suit,Astronaut Suit,Furniture,NA,6250,bells,25000,bells,NA,NA,NA,NA,nh,item-astronaut-suit,https://villagerdb.com/images/items/thumb/astronaut-suit.1ce42bc.png
243,athletic-jacket,Athletic Jacket,Tops,TRUE,240,bells,960,bells,Able Sisters,NA,NA,NA,nh,item-athletic-jacket,https://villagerdb.com/images/items/full/athletic-jacket.7dd2801.png
244,athletic-pants,Athletic Pants,Bottoms,NA,220,bells,880,bells,NA,NA,NA,NA,nh,item-athletic-pants,https://villagerdb.com/images/items/full/athletic-pants.957ff11.png
245,athletic-shorts,Athletic Shorts,Bottoms,TRUE,140,bells,560,bells,NA,NA,NA,NA,nh,item-athletic-shorts,https://villagerdb.com/images/items/full/athletic-shorts.66fd71a.png
246,atlas-moth,Atlas Moth,Bugs,FALSE,3000,bells,12000,bells,NA,NA,NA,NA,nh,item-atlas-moth,https://villagerdb.com/images/items/thumb/atlas-moth.bb9d6bd.png
247,attus-robe,Attus Robe,Dresses,NA,630,bells,2520,bells,NA,NA,NA,NA,nh,item-attus-robe,https://villagerdb.com/images/items/full/attus-robe.ae2d9b2.png
255,australopith,Australopith,Fossils,FALSE,1100,bells,NA,NA,Underground (dig spot),NA,NA,NA,nh,item-australopith,https://villagerdb.com/images/items/thumb/australopith.977bbc4.png
256,autograph-cards,Autograph Cards,Furniture,NA,350,bells,1400,bells,NA,NA,NA,NA,nh,item-autograph-cards,https://villagerdb.com/images/items/thumb/autograph-cards.031ba6a.png
257,automatic-washer,Automatic Washer,Furniture,TRUE,1125,bells,4500,bells,NA,NA,NA,NA,nh,item-automatic-washer,https://villagerdb.com/images/items/thumb/automatic-washer.9405355.png
266,axe,Axe,Tools,FALSE,625,bells,NA,NA,NA,FALSE,1,flimsy-axe,nh,item-axe,https://villagerdb.com/images/items/thumb/axe.d57b973.png
266,axe,Axe,Tools,FALSE,625,bells,NA,NA,NA,FALSE,3,wood,nh,item-axe,https://villagerdb.com/images/items/thumb/axe.d57b973.png
266,axe,Axe,Tools,FALSE,625,bells,NA,NA,NA,FALSE,1,iron-nugget,nh,item-axe,https://villagerdb.com/images/items/thumb/axe.d57b973.png
273,baabaras-poster,Baabara's Poster,Furniture,NA,250,bells,1000,bells,NA,NA,NA,NA,nh,item-baabaras-poster,https://villagerdb.com/images/items/thumb/baabaras-poster.7a62965.png
274,babouches,Babouches,Shoes,NA,140,bells,560,bells,NA,NA,NA,NA,nh,item-babouches,https://villagerdb.com/images/items/full/babouches.bb6a153.png
275,baby-bear,Baby Bear,Furniture,TRUE,450,bells,1800,bells,Nook's Cranny,TRUE,NA,NA,nh,item-baby-bear,https://villagerdb.com/images/items/thumb/baby-bear.3382840.png
277,baby-chair,Baby Chair,Furniture,TRUE,300,bells,1200,bells,Nook's Cranny,FALSE,NA,NA,nh,item-baby-chair,https://villagerdb.com/images/items/thumb/baby-chair.3370536.png
278,baby-chick-costume,Baby-chick Costume,Dresses,TRUE,425,bells,1700,bells,NA,NA,NA,NA,nh,item-baby-chick-costume,https://villagerdb.com/images/items/full/baby-chick-costume.a988ad8.png
279,baby-panda,Baby Panda,Furniture,TRUE,450,bells,1800,bells,Nook's Cranny,NA,NA,NA,nh,item-baby-panda,https://villagerdb.com/images/items/thumb/baby-panda.cbb21af.png
280,baby-romper,Baby Romper,Dresses,NA,480,bells,1920,bells,NA,NA,NA,NA,nh,item-baby-romper,https://villagerdb.com/images/items/full/baby-romper.9f46922.png
281,babys-hat,Baby's Hat,Hats,NA,140,bells,560,bells,NA,NA,NA,NA,nh,item-babys-hat,https://villagerdb.com/images/items/full/babys-hat.6af5892.png
282,back-bow-socks,Back-bow Socks,Socks,NA,150,bells,600,bells,NA,NA,NA,NA,nh,item-back-bow-socks,https://villagerdb.com/images/items/full/back-bow-socks.a5f0e70.png
293,baggy-shirt,Baggy Shirt,Tops,FALSE,10,bells,40,bells,NA,NA,NA,NA,nh,item-baggy-shirt,https://villagerdb.com/images/items/full/baggy-shirt.1ac886f.png
295,bagworm-model,Bagworm Model,Furniture,NA,1800,bells,NA,NA,NA,NA,NA,NA,nh,item-bagworm-model,https://villagerdb.com/images/items/thumb/bagworm-model.8934935.png
296,bagworm,Bagworm,Bugs,FALSE,600,bells,NA,NA,Shake trees (year round),NA,NA,NA,nh,item-bagworm,https://villagerdb.com/images/items/thumb/bagworm.c552933.png
301,ball,Ball,Furniture,TRUE,130,bells,520,bells,Nook's Cranny,FALSE,NA,NA,nh,item-ball,https://villagerdb.com/images/items/thumb/ball.823ae05.png
302,ballet-outfit,Ballet Outfit,Dresses,NA,720,bells,2880,bells,NA,NA,NA,NA,nh,item-ballet-outfit,https://villagerdb.com/images/items/full/ballet-outfit.3f832a3.png
303,ballet-slippers,Ballet Slippers,Shoes,TRUE,550,bells,2200,bells,Kicks,NA,NA,NA,nh,item-ballet-slippers,https://villagerdb.com/images/items/full/ballet-slippers.82c17a5.png
311,balloon-hat,Balloon Hat,Hats,NA,280,bells,1120,bells,NA,NA,NA,NA,nh,item-balloon-hat,https://villagerdb.com/images/items/full/balloon-hat.9e96d45.png
319,balmacaan-coat,Balmacaan Coat,Dresses,NA,385,bells,1540,bells,NA,NA,NA,NA,nh,item-balmacaan-coat,https://villagerdb.com/images/items/full/balmacaan-coat.7cab5b1.png
320,bamboo-basket,Bamboo Basket,Furniture,FALSE,1120,bells,4480,bells,NA,TRUE,7,bamboo-piece,nh,item-bamboo-basket,https://villagerdb.com/images/items/thumb/bamboo-basket.e1061d2.png
321,bamboo-bench,Bamboo Bench,Furniture,NA,1280,bells,5120,bells,NA,TRUE,8,bamboo-piece,nh,item-bamboo-bench,https://villagerdb.com/images/items/thumb/bamboo-bench.6b87011.png
322,bamboo-candleholder,Bamboo Candleholder,Furniture,NA,880,bells,3520,bells,NA,TRUE,3,bamboo-piece,nh,item-bamboo-candleholder,https://villagerdb.com/images/items/thumb/bamboo-candleholder.ed995c5.png
322,bamboo-candleholder,Bamboo Candleholder,Furniture,NA,880,bells,3520,bells,NA,TRUE,2,clay,nh,item-bamboo-candleholder,https://villagerdb.com/images/items/thumb/bamboo-candleholder.ed995c5.png
323,bamboo-doll,Bamboo Doll,Furniture,FALSE,2400,bells,NA,NA,NA,FALSE,6,young-spring-bamboo,nh,item-bamboo-doll,https://villagerdb.com/images/items/thumb/bamboo-doll.c683894.png
